meeting_number,meeting_year,meeting_month,publication_date,decision,url
165,2012,3,2012-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15925
166,2012,4,2012-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15926
167,2012,5,2012-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15927
168,2012,7,2012-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15928
169,2012,8,2012-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15929
170,2012,10,2012-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15930
171,2012,11,2012-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15931
172,2013,1,2013-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15932
173,2013,3,2013-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15933
174,2013,4,2013-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15934
175,2013,5,2013-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15935
176,2013,7,2013-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15936
177,2013,8,2013-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15937
178,2013,10,2013-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15938
179,2013,11,2013-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15939
180,2014,1,2014-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15940
181,2014,2,2014-02-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15941
182,2014,4,2014-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15942
183,2014,5,2014-05-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15943
184,2014,7,2014-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15944
185,2014,9,2014-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15945
186,2014,10,2014-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15946
187,2014,12,2014-12-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15947
188,2015,1,2015-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15948
189,2015,3,2015-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15949
190,2015,4,2015-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15950
191,2015,6,2015-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15951
192,2015,7,2015-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15952
193,2015,9,2015-09-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15953
194,2015,10,2015-10-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15954
195,2015,11,2015-11-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15955
196,2016,1,2016-01-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15956
197,2016,3,2016-03-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15957
198,2016,4,2016-04-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15958
199,2016,6,2016-06-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15959
200,2016,7,2016-07-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15960
201,2016,8,2016-08-01,Nota à Imprensa,https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15961
202,2016,10,2016-10-01,"Copom reduz a taxa Selic para 14,00% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/15966
203,2016,11,2016-11-01,"Copom reduz a taxa Selic para 13,75% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16023
204,2017,1,2017-01-01,"Copom reduz a taxa Selic para 13,00% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16054
205,2017,2,2017-02-01,"Copom reduz a taxa Selic para 12,25% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16088
206,2017,4,2017-04-01,"Copom reduz a taxa Selic para 11,25% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16130
207,2017,5,2017-05-01,"Copom reduz a taxa Selic para 10,25% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16180
208,2017,7,2017-07-01,"Copom reduz a taxa Selic para 9,25% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16217
209,2017,9,2017-09-01,"Copom reduz a taxa Selic para 8,25% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16260
210,2017,10,2017-10-01,"Copom reduz a taxa Selic para 7,50% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16298
211,2017,12,2017-12-01,"Copom reduz a taxa Selic para 7,00% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16340
212,2018,2,2018-02-01,"Copom reduz a taxa Selic para 6,75% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16381
213,2018,3,2018-03-01,"Copom reduz taxa Selic para 6,50% ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16417
214,2018,5,2018-05-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16475
215,2018,6,2018-06-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16512
216,2018,8,2018-08-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16538
217,2018,9,2018-09-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16569
218,2018,10,2018-10-01,"Copom mantém taxa Selic em 6,50 % a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16595
219,2018,12,2018-12-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16633
220,2019,2,2019-02-01,"Copom mantém taxa Selic em 6,50 % a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16675
221,2019,3,2019-03-01,"Copom mantém taxa Selic em 6,50 % ao ano",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16703
222,2019,5,2019-05-01,"Copom mantém taxa Selic em 6,50 % a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16745
223,2019,6,2019-06-01,"Copom mantém taxa Selic em 6,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16780
224,2019,7,2019-07-01,"Copom reduz taxa Selic para 6,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16812
225,2019,9,2019-09-01,"Copom reduz taxa Selic para 5,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16857
226,2019,10,2019-10-01,"Copom reduz taxa Selic para 5,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16888
227,2019,12,2019-12-01,"Copom reduz taxa Selic para 4,50% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16924
228,2020,2,2020-02-01,"Copom reduz taxa Selic para 4,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/16964
229,2020,3,2020-03-01,"Copom reduz a taxa Selic para 3,75% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17003
230,2020,5,2020-05-01,"Copom reduz a taxa Selic para 3,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17067
231,2020,6,2020-06-01,"Copom reduz a taxa Selic para 2,25% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17095
232,2020,8,2020-08-01,"Copom reduz a taxa Selic para 2,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17148
233,2020,9,2020-09-01,"Copom mantém a taxa Selic em 2,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17188
234,2020,10,2020-10-01,"Copom mantém a taxa Selic em 2,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17224
235,2020,12,2020-12-01,"Copom mantém a taxa Selic em 2,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17268
236,2021,1,2021-01-01,"Copom mantém a taxa Selic em 2,00% a.a.",https://www.bcb.gov.br/controleinflacao/comunicadoscopom/17297
